100	Bombay Nan Bread	Indian large round eggless bread	2.99	1	1
101	Bomaby Nan Bread (small-2pcs)	Indian small round eggless bread	2.99	1	1
102	Fruit bread	Sweet eggless bread with fruit candies	3.49	1	1
103	Fruit bun	Sweet eggless bun with fruit candies	3.49	1	1
104	Milk bread	Sweet eggles bread	3.49	1	1
105	Pav bread	Plain small 6pcs eggless bun	3.49	1	1
106	Plain bread	Plain eggless bread	2.49	1	1
107	Sandwich bread	Large plain eggless bread	4.49	1	1
108	Wheat bread	Partial wheat eggless bread(not 100%)	3.99	1	1
109	Grilled cheese sandwich	Mozarella cheese sandwich made with house baked  sandwich bread	4.99	2	1
110	Pav bhaji	Spicy potato gravy with house baked pav bread	6.99	2	1
111	Vada Pav	Spicy potato patties with house baked pav bread	5	2	1
112	Vegetable grilled sandwich	Cheese and mixed vegetable sandwich in house baked sandwich bread	6.49	2	1
113	Extra pav	butteredgrilled house baked bread	1.29	2	1
114	Aalu Capsicum bun	Spicy potato filled bun	3.49	3	1
115	Chicken Seekh Kabob bun	Spicy chicken seekh kabob filled bun	3.49	3	1
116	Chicken Tikka Bun	Spicy grounded chicken tikka flavor filled bun	3.49	3	1
117	Keema Bun	Spicy grounded goat filled bun	4.99	3	1
118	Panner Masala Bun	Spicy indian cottage cheese filled bun	3.99	3	1
119	"8"" round blackforest cake"	chocolate base with vanilla cream and crushed cherries	25	4	1
120	"8"" round pineapple cake"	vanilla base with vanilla cream and crushed pineapple	25	4	1
121	"8"" round mix fruit cake"	vanilla base with fresh fruits 	25	4	1
122	"8"" round fresh strawberry cake"	vanilla base with fresh strawberries	30	4	1
123	"8"" round mango cake"	vanilla base with mango puree	30	4	1
124	"8"" round pistachio cake"	vanilla base with pistachio essence and pistachio nuts	35	4	1
125	"8"" round nougat cake"	vanilla base with caramalized sugar with cashew	30	4	1
126	"8"" round mocha cake"	chocolate with chocolate and coffee mix cream	30	4	1
127	"8"" round coffee cake"	vanilla base with coffee flavor	30	4	1
128	"8"" round chocolate flakes cake"	chocolate base with fresh chocolate cream	30	4	1
129	"8"" round rasamalai cake"	vanilla base with pieces of rasamalai 	35	4	1
130	"8"" round fererro rocher chocolate cake"	chocolate base with crushed hazelnut chocolate 	35	4	1
131	"8"" round Chocolate delight cake"	chocolate base with fresh chocolate cream and chocolate ganache	35	4	1
132	"8"" round Raspberry cake"	vanilla base with raspberries flavor	35	4	1
133	"8"" Dulce de leche cake"	vanilla base caramel flavor	30	4	1
134	"8"" Gulab jamun cake"	vanilla base with pieces of gulabjamun	35	4	1
135	"8"" round eggless blackforest cake"	chocolate base with vanilla cream and crushed cherries	30	4	1
136	"8"" round eggless pineapple cake"	vanilla base with vanilla cream and crushed pineapple	30	4	1
137	"8"" round eggless mix fruit cake"	vanilla base with fresh fruits 	30	4	1
138	"8"" round eggless fresh strawberry cake"	vanilla base with fresh strawberries	35	4	1
139	"8"" round eggless mango cake"	vanilla base with mango puree	35	4	1
140	"8"" round eggless pistachio cake"	vanilla base with pistachio essence and pistachio nuts	40	4	1
141	"8"" round eggless nougat cake"	vanilla base with caramalized sugar with cashew	35	4	1
142	"8"" round eggless mocha cake"	chocolate with chocolate and coffee mix cream	35	4	1
143	"8"" round eggless coffee cake"	vanilla base with coffee flavor	35	4	1
