ID	Name	Desc	Price	Type	Col1	Col2	Col3
100	Bombay Nan Bread	Indian large round eggless bread	2.99	1	1	100	0
101	Bomaby Nan Bread (small-2pcs)	Indian small round eggless bread	2.99	1	1	100	0
102	Fruit bread	Sweet eggless bread with fruit candies	3.49	1	1	100	0
103	Fruit bun	Sweet eggless bun with fruit candies	3.49	1	1	100	0
104	Milk bread	Sweet eggles bread	3.49	1	1	100	0
105	Pav bread	Plain small 6pcs eggless bun	3.49	1	1	100	0
106	Plain bread	Plain eggless bread	2.49	1	1	100	0
107	Sandwich bread	Large plain eggless bread	4.49	1	1	100	0
108	Wheat bread	Partial wheat eggless bread(not 100%)	3.99	1	1	100	0
109	Grilled cheese sandwich	Mozarella cheese sandwich made with house baked  sandwich bread	4.99	2	1	100	0
110	Pav bhaji	Spicy potato gravy with house baked pav bread	6.99	2	1	102	0
111	Vada Pav	Spicy potato patties with house baked pav bread	5	2	1	100	0
112	Vegetable grilled sandwich	Cheese and mixed vegetable sandwich in house baked sandwich bread	6.49	2	1	100	0
113	Extra pav	butteredgrilled house baked bread	1.29	2	1	100	0
114	Aalu Capsicum bun	Spicy potato filled bun	3.49	3	1	101	0
115	Chicken Seekh Kabob bun	Spicy chicken seekh kabob filled bun	3.49	3	1	101	0
116	Chicken Tikka Bun	Spicy grounded chicken tikka flavor filled bun	3.49	3	1	100	0
117	Keema Bun	Spicy grounded goat filled bun	4.99	3	1	102	0
118	Panner Masala Bun	Spicy indian cottage cheese filled bun	3.99	3	1	101	0
119	"8"" round blackforest cake"	chocolate base with vanilla cream and crushed cherries	25	4	1	100	0
120	"8"" round pineapple cake"	vanilla base with vanilla cream and crushed pineapple	25	4	1	100	0
121	"8"" round mix fruit cake"	vanilla base with fresh fruits 	25	4	1	100	0
122	"8"" round fresh strawberry cake"	vanilla base with fresh strawberries	30	4	1	100	0
123	"8"" round mango cake"	vanilla base with mango puree	30	4	1	100	0
124	"8"" round pistachio cake"	vanilla base with pistachio essence and pistachio nuts	35	4	1	100	0
125	"8"" round nougat cake"	vanilla base with caramalized sugar with cashew	30	4	1	100	0
126	"8"" round mocha cake"	chocolate with chocolate and coffee mix cream	30	4	1	100	0
127	"8"" round coffee cake"	vanilla base with coffee flavor	30	4	1	100	0
128	"8"" round chocolate flakes cake"	chocolate base with fresh chocolate cream	30	4	1	100	0
129	"8"" round rasamalai cake"	vanilla base with pieces of rasamalai 	35	4	1	100	0
130	"8"" round fererro rocher chocolate cake"	chocolate base with crushed hazelnut chocolate 	35	4	1	100	0
131	"8"" round Chocolate delight cake"	chocolate base with fresh chocolate cream and chocolate ganache	35	4	1	100	0
132	"8"" round Raspberry cake"	vanilla base with raspberries flavor	35	4	1	100	0
133	"8"" Dulce de leche cake"	vanilla base caramel flavor	30	4	1	100	0
134	"8"" Gulab jamun cake"	vanilla base with pieces of gulabjamun	35	4	1	100	0
135	"8"" round eggless blackforest cake"	chocolate base with vanilla cream and crushed cherries	30	4	1	100	0
136	"8"" round eggless pineapple cake"	vanilla base with vanilla cream and crushed pineapple	30	4	1	100	0
137	"8"" round eggless mix fruit cake"	vanilla base with fresh fruits 	30	4	1	100	0
138	"8"" round eggless fresh strawberry cake"	vanilla base with fresh strawberries	35	4	1	100	0
139	"8"" round eggless mango cake"	vanilla base with mango puree	35	4	1	100	0
140	"8"" round eggless pistachio cake"	vanilla base with pistachio essence and pistachio nuts	40	4	1	100	0
141	"8"" round eggless nougat cake"	vanilla base with caramalized sugar with cashew	35	4	1	100	0
142	"8"" round eggless mocha cake"	chocolate with chocolate and coffee mix cream	35	4	1	100	0
143	"8"" round eggless coffee cake"	vanilla base with coffee flavor	35	4	1	100	0
144	"8"" round eggless chocolate flakes cake"	chocolate base with fresh chocolate cream	35	4	1	100	0
145	"8"" round eggless rasamalai cake"	vanilla base with pieces of rasamalai 	40	4	1	100	0
146	"8"" round eggless fererro rocher chocolate cake"	chocolate base with crushed hazelnut chocolate 	40	4	1	100	0
147	"8"" round eggless Chocolate delight cake"	chocolate base with fresh chocolate cream and chocolate ganache	40	4	1	100	0
148	"8"" round eggless Raspberry cake"	vanilla base with raspberries flavor	40	4	1	100	0
149	"8"" round eggless Dulce de leche cake"	vanilla base caramel flavor	35	4	1	100	0
150	"8"" round eggless Gulab jamun cake"	vanilla base with pieces of gulabjamun	40	4	1	100	0
151	1/4 sheet blackforest cake	chocolate base with vanilla cream and crushed cherries	45	4	1	100	0
152	1/4 sheet pineapple cake	vanilla base with vanilla cream and crushed pineapple	45	4	1	100	0
153	1/4 sheet mix fruit cake	vanilla base with fresh fruits 	45	4	1	100	0
154	1/4 sheet fresh strawberry cake	vanilla base with fresh strawberries	55	4	1	100	0
155	1/4 sheet mango cake	vanilla base with mango puree	55	4	1	100	0
156	1/4 sheet pistachio cake	vanilla base with pistachio essence and pistachio nuts	65	4	1	100	0
157	1/4 sheet nougat cake	vanilla base with caramalized sugar with cashew	55	4	1	100	0
158	1/4 sheet mocha cake	chocolate with chocolate and coffee mix cream	55	4	1	100	0
