1	active customer	customer who visits frequently
2	rude customer	customer who is very rude
3	honest customer	customer who shows honesty towards the product
4	complainer	customer who complaints every time
5	discount customer	customer who always asks for a discount
6	foodie	customer who likes to try new products
7	lookers	customer who barely buy any products
8	researchers	customer who compares us with our competitors
9	unsure customer	customer who is always confused and unsure
10	new customer	customer who just made their first purchase
11	unhappy customer	customer who is never satisfied with service and products
12	referral customer	customer who loyal customer has referred
13	lifetime customer	customer who has been with us for a long time
